UC-ID,ユースケース名,アクター,概要,条件,備考
UC-DB-001,ダッシュボードを閲覧する,運営者,管理画面トップでTourOption・商品ページ等の概況を確認する,ログイン済みであること,index.html
UC-TO-001,TourOption一覧を閲覧・検索する,運営者,TourOptionをステータスやキーワードで絞り込んで一覧表示する,,tour-options.html
UC-TO-002,TourOptionを新規作成する,運営者,TourOptionの基本情報を入力して新規登録する,,tour-option-detail.html（新規モード）
UC-TO-003,TourOptionの基本情報を編集する,運営者,名称・テーマタイトル・都道府県・エリア・タグ等を編集する,対象TourOptionが存在すること,tour-option-detail.html 01基本情報タブ
UC-TO-004,TourOptionの提供条件を編集する,運営者,商品種別・所要時間・カテゴリ・集合場所・解散場所・ピックアップ等を編集する,対象TourOptionが存在すること,tour-option-detail.html 02提供条件タブ
UC-TO-005,TourOptionの販売条件を編集する,運営者,予約期限・料金区分一覧・キャンセルポリシー・販売停止理由を編集する,対象TourOptionが存在すること,tour-option-detail.html 03販売条件タブ
UC-TO-006,TourOptionの料金（段階価格）を登録・編集する,運営者,参加者区分ごとの段階価格を別ページで登録・編集する,対象TourOptionが存在すること,tour-option-price.html
UC-TO-007,TourOptionの販売期間・リソースを設定する,運営者,販売期間・曜日・受付時間帯・臨時休業・催行リソースを設定する,対象TourOptionが存在すること,tour-option-detail.html 04販売期間・リソースタブ
UC-TO-008,TourOptionのコンテンツを編集する,運営者,説明文・含まれるもの/含まれないもの・画像（D&Dアップロード）を編集する,対象TourOptionが存在すること,tour-option-detail.html 04コンテンツタブ
UC-TO-009,TourOptionのツアー行程を管理する,運営者,TourOptionに紐づくツアー行程の一覧を確認し新規作成・編集に遷移する,対象TourOptionが存在すること,tour-option-detail.html 05ツアー行程タブ
UC-TO-010,TourOptionの運営・確認情報を管理する,運営者,ガイド向け資料（共通・個別）をサジェスト検索で割り当てる,対象TourOptionが存在すること,tour-option-detail.html 06運営・確認タブ
UC-TO-011,TourOptionのチャネル別URLを管理する,運営者,チャネルごとのURLを一覧表示し登録・編集する,対象TourOptionが存在すること,tour-option-detail.html 07チャネル別URLタブ / tour-channel-detail.html
UC-TO-012,TourOptionの経費を管理する,運営者,TourOptionに紐づく経費を登録・編集する,対象TourOptionが存在すること,tour-option-detail.html 09経費タブ / tour-option-cost-add.html / tour-option-cost-edit.html
